Date,Price,Open,High,Low,Vol.,Change %
3/27/2018,"36,160","34,491","36,160","33,990",2.58M,6.97%
3/28/2018,"36,772","36,716","38,663","36,605",5.21M,1.69%
3/29/2018,"36,883","36,661","37,161","36,661",910.36K,0.30%
3/30/2018,"38,496","37,161","38,496","37,161",4.48M,4.37%
4/2/2018,"40,054","38,997","40,221","38,496",5.38M,4.05%
4/3/2018,"42,724","39,887","42,780","39,776",6.05M,6.67%
4/4/2018,"42,836","42,724","43,392","41,779",6.23M,0.26%
4/5/2018,"43,392","42,390","43,837","41,779",5.20M,1.30%
4/6/2018,"42,557","42,836","43,392","41,945",5.77M,-1.92%
4/9/2018,"40,666","42,168","42,557","40,666",3.42M,-4.44%
4/10/2018,"40,332","40,054","40,722","38,886",4.67M,-0.82%
4/11/2018,"40,332","40,221","40,332","39,665",5.23M,0.00%
4/12/2018,"41,055","39,943","41,278","39,887",5.06M,1.79%
4/13/2018,"41,445","40,777","41,667","40,777",4.17M,0.95%
4/16/2018,"40,555","40,610","41,445","40,388",5.42M,-2.15%
4/17/2018,"39,442","39,220","40,610","38,886",3.77M,-2.74%
4/18/2018,"38,830","39,442","39,442","38,830",2.69M,-1.55%
4/19/2018,"38,830","38,830","38,997","37,718",3.26M,0.00%
4/20/2018,"38,830","38,552","39,998","38,552",6.68M,0.00%
4/23/2018,"38,830","38,830","39,220","38,663",4.15M,0.00%
4/24/2018,"39,498","38,719","39,498","38,608",4.61M,1.72%
4/26/2018,"36,772","39,498","39,553","36,772",3.69M,-6.90%
4/27/2018,"34,213","34,491","35,993","34,213",1.60M,-6.96%
5/2/2018,"32,377","32,043","34,213","32,043",4.42M,-5.37%
5/3/2018,"30,152","32,154","32,377","30,152",2.89M,-6.87%
5/4/2018,"28,928","29,206","30,597","28,093",4.23M,-4.06%
5/7/2018,"29,985","28,928","30,096","28,817",3.17M,3.65%
5/8/2018,"31,543","29,762","31,598","29,762",3.68M,5.20%
5/9/2018,"31,487","31,264","31,765","30,041",3.43M,-0.18%
5/10/2018,"31,153","31,320","31,543","30,430",4.50M,-1.06%
5/11/2018,"30,875","30,931","31,153","29,762",3.57M,-0.89%
5/14/2018,"30,041","30,875","31,097","29,651",5.20M,-2.70%
5/15/2018,"29,762","29,985","30,152","29,373",4.63M,-0.93%
5/16/2018,"29,262","29,762","29,762","28,093",5.20M,-1.68%
5/17/2018,"29,262","29,317","29,484","28,149",5.25M,0.00%
5/18/2018,"29,484","29,262","29,484","28,817",5.92M,0.76%
5/21/2018,"28,928","29,484","29,540","28,372",4.93M,-1.89%
5/22/2018,"28,038","28,872","28,872","27,648",5.43M,-3.08%
5/23/2018,"27,927","28,038","28,038","27,426",5.89M,-0.40%
5/24/2018,"28,149","27,927","28,928","27,704",6.33M,0.79%
5/25/2018,"28,928","28,149","29,206","27,704",6.03M,2.77%
5/28/2018,"28,372","28,817","29,373","28,372",5.94M,-1.92%
5/29/2018,"29,540","28,093","30,319","28,093",8.52M,4.12%
5/30/2018,"28,260","29,540","29,540","28,260",6.24M,-4.33%
5/31/2018,"28,372","28,260","29,651","28,205",7.96M,0.40%
6/1/2018,"28,705","28,427","29,484","28,427",7.23M,1.17%
6/4/2018,"28,984","28,705","29,150","28,705",6.25M,0.97%
6/5/2018,"28,984","28,984","29,484","28,761",5.94M,0.00%
6/6/2018,"29,039","28,984","29,206","28,817",5.80M,0.19%
6/7/2018,"30,319","29,039","30,597","29,039",5.87M,4.41%
