Date,Price,Open,High,Low,Vol.,Change %
12/5/2017,"12,282.10","12,705.60","12,917.30","12,282.10",11.06M,-3.33%
12/6/2017,"12,161.10","12,161.10","12,342.60","11,919.00",7.72M,-0.99%
12/7/2017,"12,100.60","12,161.10","12,312.30","11,858.50",5.23M,-0.50%
12/8/2017,"12,070.30","12,100.60","12,342.60","11,949.30",5.03M,-0.25%
12/11/2017,"11,858.50","11,949.30","12,251.80","11,858.50",6.37M,-1.75%
12/12/2017,"11,616.50","11,888.80","12,009.80","11,041.80",11.45M,-2.04%
12/13/2017,"11,374.50","11,616.50","11,616.50","11,193.00",6.86M,-2.08%
12/14/2017,"11,798.00","11,314.00","11,798.00","11,314.00",4.00M,3.72%
12/15/2017,"11,919.00","11,798.00","11,949.30","11,707.30",3.34M,1.03%
12/18/2017,"11,919.00","11,979.50","12,161.10","11,919.00",4.86M,0.00%
12/19/2017,"12,040.10","11,919.00","12,221.60","11,858.50",8.04M,1.02%
12/20/2017,"12,403.10","12,221.60","12,433.30","12,130.80",7.71M,3.01%
12/21/2017,"12,342.60","12,524.10","12,766.10","12,342.60",10.42M,-0.49%
12/22/2017,"12,130.80","12,342.60","12,342.60","12,040.10",5.02M,-1.72%
12/25/2017,"12,009.80","12,191.30","12,221.60","12,009.80",3.19M,-1.00%
12/26/2017,"12,433.30","11,979.50","12,433.30","11,919.00",4.19M,3.53%
12/27/2017,"12,554.30","12,463.60","12,645.10","12,433.30",7.38M,0.97%
12/28/2017,"12,463.60","12,584.60","12,584.60","12,463.60",4.87M,-0.72%
12/29/2017,"13,038.30","12,463.60","13,250.10","12,463.60",18.85M,4.61%
1/2/2018,"13,401.40","13,310.60","13,401.40","13,189.60",9.86M,2.78%
1/3/2018,"13,371.10","13,401.40","13,522.40","13,159.40",7.43M,-0.23%
1/4/2018,"13,522.40","13,431.60","13,824.90","13,401.40",8.92M,1.13%
1/5/2018,"13,159.40","13,310.60","13,522.40","13,098.80",13.87M,-2.68%
1/8/2018,"14,066.90","13,189.60","14,066.90","13,038.30",8.78M,6.90%
1/9/2018,"14,278.70","14,187.90","14,520.70","13,734.10",8.55M,1.51%
1/10/2018,"14,520.70","14,278.70","14,671.90","14,157.60",10.82M,1.69%
1/11/2018,"14,823.20","14,399.70","14,823.20","14,157.60",9.85M,2.08%
1/12/2018,"14,611.40","14,823.20","14,974.40","14,460.20",6.35M,-1.43%
1/15/2018,"15,609.70","14,611.40","15,609.70","14,581.20",8.64M,6.83%
1/16/2018,"15,730.70","15,398.00","16,124.00","15,398.00",8.93M,0.78%
1/17/2018,"15,125.70","15,912.20","15,942.50","14,883.70",9.04M,-3.85%
1/18/2018,"15,730.70","14,913.90","15,730.70","14,671.90",13.09M,4.00%
1/19/2018,"16,638.30","15,730.70","16,789.50","15,609.70",12.13M,5.77%
1/22/2018,"16,759.30","16,638.30","16,850.00","16,335.70",8.17M,0.73%
1/25/2018,"17,545.80","16,880.30","17,757.60","16,456.80",11.87M,4.69%
1/26/2018,"17,364.30","17,545.80","17,727.30","17,061.80",5.90M,-1.03%
1/29/2018,"17,243.30","17,364.30","17,576.10","17,122.30",5.25M,-0.70%
1/30/2018,"18,423.10","17,061.80","18,423.10","16,850.00",10.47M,6.84%
1/31/2018,"18,453.30","18,725.60","19,421.40","18,453.30",4.70M,0.16%
2/1/2018,"17,848.30","18,453.30","18,816.40","17,545.80",5.03M,-3.28%
2/2/2018,"17,999.60","17,848.30","17,999.60","17,424.80",3.34M,0.85%
2/5/2018,"16,759.30","17,606.30","17,606.30","16,759.30",7.17M,-6.89%
2/6/2018,"16,154.20","15,609.70","16,759.30","15,609.70",10.93M,-3.61%
2/7/2018,"16,940.80","17,182.80","17,182.80","16,214.70",4.17M,4.87%
2/8/2018,"17,243.30","16,698.80","17,787.80","16,698.80",5.42M,1.79%
2/9/2018,"17,061.80","16,275.20","17,303.80","16,214.70",5.19M,-1.05%
2/12/2018,"18,150.80","17,485.30","18,150.80","17,303.80",3.55M,6.38%
2/13/2018,"18,513.80","18,695.40","18,816.40","18,392.80",3.76M,2.00%
2/21/2018,"19,028.10","18,665.10","19,421.40","18,665.10",4.40M,2.78%
2/22/2018,"19,300.40","18,634.90","19,723.90","18,634.90",7.26M,1.43%
2/23/2018,"20,238.20","19,421.40","20,268.40","19,300.40",6.41M,4.86%
2/26/2018,"19,663.40","20,570.90","20,631.40","19,602.90",7.90M,-2.84%
2/27/2018,"19,542.40","19,784.40","19,905.40","19,179.40",6.16M,-0.62%
