Date,Price,Open,High,Low,Vol.,Change %
8/10/2017,"13,002.30","13,002.30","13,048.40","13,002.30",92.32K,-0.35%
8/11/2017,"13,025.30","13,048.40","13,048.40","12,956.20",126.13K,0.18%
8/14/2017,"13,025.30","12,910.10","13,048.40","12,910.10",121.33K,0.00%
8/15/2017,"13,025.30","13,048.40","13,048.40","13,002.30",125.07K,0.00%
8/16/2017,"13,025.30","13,025.30","13,048.40","13,002.30",133.91K,0.00%
8/17/2017,"13,025.30","13,002.30","13,025.30","12,910.10",209.24K,0.00%
8/18/2017,"13,002.30","13,025.30","13,025.30","12,864.00",159.30K,-0.18%
8/21/2017,"13,025.30","12,956.20","13,048.40","12,910.10",158.94K,0.18%
8/22/2017,"13,025.30","13,048.40","13,140.60","13,025.30",158.28K,0.00%
8/23/2017,"13,025.30","13,002.30","13,025.30","13,002.30",154.50K,0.00%
8/24/2017,"13,025.30","13,025.30","13,025.30","12,910.10",74.57K,0.00%
8/25/2017,"13,025.30","13,002.30","13,025.30","12,956.20",133.28K,0.00%
8/28/2017,"12,956.20","13,025.30","13,025.30","12,956.20",123.55K,-0.53%
8/29/2017,"12,910.10","13,002.30","13,002.30","12,864.00",180.20K,-0.36%
8/30/2017,"12,910.10","12,910.10","12,956.20","12,864.00",98.77K,0.00%
8/31/2017,"12,910.10","12,910.10","12,910.10","12,864.00",60.93K,0.00%
9/1/2017,"12,910.10","12,956.20","12,956.20","12,864.00",174.47K,0.00%
9/5/2017,"12,910.10","12,956.20","12,956.20","12,864.00",62.32K,0.00%
9/6/2017,"12,910.10","12,956.20","12,956.20","12,864.00",142.08K,0.00%
9/7/2017,"12,887.00","12,910.10","12,956.20","12,864.00",160.17K,-0.18%
9/8/2017,"12,864.00","12,887.00","12,956.20","12,864.00",103.98K,-0.18%
9/11/2017,"12,771.70","12,864.00","12,910.10","12,679.50",107.40K,-0.72%
9/12/2017,"12,771.70","12,817.80","12,817.80","12,771.70",120.28K,0.00%
9/13/2017,"12,910.10","12,817.80","12,910.10","12,817.80",158.78K,1.08%
9/14/2017,"12,910.10","12,910.10","12,956.20","12,887.00",105.66K,0.00%
9/15/2017,"12,910.10","12,910.10","12,956.20","12,910.10",204.71K,0.00%
9/18/2017,"12,817.80","12,910.10","12,956.20","12,817.80",728.04K,-0.71%
9/19/2017,"13,437.70","12,831.90","13,658.00","12,831.90",221.93K,4.84%
9/20/2017,"13,217.40","13,437.70","13,437.70","13,189.90",99.23K,-1.64%
